Record_ID,Date,Asset,Field_Group,Watercut_Pct,Data_Type,Original_Watercut_Pct,Watercut_Adjusted,Oil_Rate_BOPD,Oil_Rate_Type
1,2024-01-01,AV HUT D/P,Heera-Uran Complex,4.8,Actual,4.8,No,2526.2,Synthetic
13,2024-01-02,AV HUT D/P,Heera-Uran Complex,4.2,Actual,4.2,No,2442.9,Synthetic
25,2024-01-03,AV HUT D/P,Heera-Uran Complex,4.2,Actual,4.2,No,2552.5,Synthetic
37,2024-01-04,AV HUT D/P,Heera-Uran Complex,4.5,Actual,4.5,No,2426.3,Synthetic
49,2024-01-05,AV HUT D/P,Heera-Uran Complex,4.7,Actual,4.7,No,2300.5,Synthetic
61,2024-01-06,AV HUT D/P,Heera-Uran Complex,5.1,Actual,5.1,No,2367.8,Synthetic
73,2024-01-07,AV HUT D/P,Heera-Uran Complex,4.5,Actual,4.5,No,2309.4,Synthetic
85,2024-01-08,AV HUT D/P,Heera-Uran Complex,4.9,Actual,4.9,No,2412.2,Synthetic
97,2024-01-09,AV HUT D/P,Heera-Uran Complex,4.7,Actual,4.7,No,2438.8,Synthetic
109,2024-01-10,AV HUT D/P,Heera-Uran Complex,4.7,Actual,4.7,No,2556.7,Synthetic
121,2024-01-11,AV HUT D/P,Heera-Uran Complex,4.3,Actual,4.3,No,2460.5,Synthetic
133,2024-01-12,AV HUT D/P,Heera-Uran Complex,4.9,Actual,4.9,No,2409.2,Synthetic
145,2024-01-13,AV HUT D/P,Heera-Uran Complex,5.3,Actual,5.3,No,2476.6,Synthetic
157,2024-01-14,AV HUT D/P,Heera-Uran Complex,6.1,Actual,6.1,No,2243.0,Synthetic
169,2024-01-15,AV HUT D/P,Heera-Uran Complex,4.7,Actual,4.7,No,2435.4,Synthetic
181,2024-01-16,AV HUT D/P,Heera-Uran Complex,0.0,Actual,0.0,No,2536.6,Synthetic
193,2024-01-17,AV HUT D/P,Heera-Uran Complex,0.0,Actual,0.0,No,2366.2,Synthetic
205,2024-01-18,AV HUT D/P,Heera-Uran Complex,0.0,Actual,0.0,No,2557.6,Synthetic
